id,nome_sito,prezzo_sito,prezzo_gipo_ultimo,data_ultima_fattura,prezzo_gipo_modale,n_fatture_12m,esito
acidi-organici-urinari,ACIDI ORGANICI URINARI,415.0,,,,0,NO_DATI_GIPO
acido-5-oh-indolacetico-urine-24h,ACIDO 5-OH-INDOLACETICO URINE 24H,22.0,,,,0,NO_DATI_GIPO
acido-butossiacetico-urine-f-t,ACIDO BUTOSSIACETICO URINE F.T.,39.5,,,,0,NO_DATI_GIPO
acido-delta-aminolevulinico-ala,Acido Delta Aminolevulinico (ALA),39.8,,,,0,NO_DATI_GIPO
acido-fenilmercapturico,Acido fenilmercapturico,30.0,30.0,2026-03-20,30.0,2,OK
acido-folico-folati,ACIDO FOLICO (FOLATI),9.9,9.9,2026-07-01,9.9,226,OK
acido-formico-formiati-urine-f-t,ACIDO FORMICO (FORMIATI) URINE F.T.,18.5,,,,0,NO_DATI_GIPO
acido-ippurico-urine-f-t,ACIDO IPPURICO URINE F.T.,15.0,,,,0,NO_DATI_GIPO
acido-ippurico-urine-i-t,ACIDO IPPURICO URINE I.T,15.0,,,,0,NO_DATI_GIPO
acido-lattico,ACIDO LATTICO,9.5,,,,0,NO_DATI_GIPO
acido-mandelico-acido-fenilgliossilico-urine-f-t,ACIDO MANDELICO + ACIDO FENILGLIOSSILICO URINE F.T.,28.0,,,,0,NO_DATI_GIPO
acido-mandelico-acido-fenilgliossilico-urine-i-t,ACIDO MANDELICO + ACIDO FENILGLIOSSILICO URINE I.T.,28.0,,,,0,NO_DATI_GIPO
acido-mandelico-urine-f-t,ACIDO MANDELICO URINE F.T.,14.5,,,,0,NO_DATI_GIPO
acido-mandelico-urine-i-t,ACIDO MANDELICO URINE I.T.,14.5,,,,0,NO_DATI_GIPO
acido-metilippurico-urine-f-t,ACIDO METILIPPURICO URINE F.T.,14.9,,,,0,NO_DATI_GIPO
acido-metilippurico-urine-i-t,ACIDO METILIPPURICO URINE I.T.,14.9,,,,0,NO_DATI_GIPO
acido-metilmalonico,ACIDO METILMALONICO,235.0,235.0,2026-04-07,235.0,2,OK
acido-micofenolico-micofenolato-mofetile,ACIDO MICOFENOLICO (MICOFENOLATO MOFETILE),162.0,,,,0,NO_DATI_GIPO
acido-ossalico-urine-24h,ACIDO OSSALICO URINE 24H,27.0,27.0,2026-06-22,27.0,1,OK
acido-ossalico-urine-f-t,ACIDO OSSALICO URINE F.T.,32.0,,,,0,NO_DATI_GIPO
acido-piruvico,ACIDO PIRUVICO,100.0,,,,0,NO_DATI_GIPO
acido-s-fenilmercapturico-urine-f-t,ACIDO S-FENILMERCAPTURICO URINE F.T.,32.0,,,,0,NO_DATI_GIPO
acido-transmuconico-urine-f-t,ACIDO TRANSMUCONICO URINE F.T.,36.5,,,,0,NO_DATI_GIPO
acido-transmuconico-urine-i-t,ACIDO TRANSMUCONICO URINE I.T.,36.5,,,,0,NO_DATI_GIPO
acido-tricloroacetico-tca-urine-f-t,ACIDO TRICLOROACETICO (TCA) URINE F.T.,11.9,,,,0,NO_DATI_GIPO
acido-urico,ACIDO URICO,3.5,3.5,2026-06-27,3.5,150,OK
acido-valproico-depakin-dipropilacetico,ACIDO VALPROICO (DEPAKIN) (DIPROPILACETICO),12.0,12.0,2026-03-16,12.0,2,OK
acido-vanilmandelico-urine-24h,ACIDO VANILMANDELICO URINE 24H,31.5,,,,0,NO_DATI_GIPO
acr-rapporto-mg-di-microalbuminuria-g-di-creatinin,ACR: Rapporto mg di Microalbuminuria  / g di creatinina urinaria,15.0,15.0,2025-08-01,15.0,1,OK
acth-ormone-adrenocorticotropo,ACTH (ORMONE ADRENOCORTICOTROPO),25.0,25.0,2026-06-29,25.0,18,OK
adenovirus-ricerca-antigene-nelle-feci,ADENOVIRUS RICERCA ANTIGENE NELLE FECI,25.0,,,,0,NO_DATI_GIPO
adiponectina,ADIPONECTINA,85.0,,,,0,NO_DATI_GIPO
adrenalina-noradrenalina-plasmatica,ADRENALINA-NORADRENALINA PLASMATICA,34.9,,,,0,NO_DATI_GIPO
adrenalina-noradrenalina-urine-24h,ADRENALINA-NORADRENALINA URINE 24H,65.0,,,,0,NO_DATI_GIPO
agglutine-a-freddo,AGGLUTINE A FREDDO,40.0,,,,0,NO_DATI_GIPO
aglio-ige-specifiche,AGLIO (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
albicocca-ige-specifiche,ALBICOCCA (IgE SPECIFICHE),14.0,,,,0,NO_DATI_GIPO
albume-ige-specifiche,ALBUME (IgE SPECIFICHE),14.0,14.0,2025-11-08,14.0,1,OK
albumina,ALBUMINA,3.5,3.5,2026-06-24,3.5,28,OK
albuminuria-24h,ALBUMINURIA 24H,4.0,4.0,2026-04-24,4.0,3,OK
alcolemia,ALCOLEMIA,20.0,20.0,2026-06-22,20.0,19,OK
aldolasi,ALDOLASI,3.3,3.3,2026-03-03,3.3,2,OK
aldosterone-in-ortostatismo,ALDOSTERONE IN ORTOSTATISMO,16.0,16.0,2026-06-29,16.0,2,OK
aldosterone-urine-24h,ALDOSTERONE URINE 24H,21.9,21.9,2025-08-29,21.9,1,OK
alex-test,ALEX TEST,310.0,310.0,2026-05-04,310.0,10,OK
alfa-1-microglobulina,ALFA 1 MICROGLOBULINA,28.0,,,,0,NO_DATI_GIPO
alfa-2-macroglobulina,ALFA 2 MACROGLOBULINA,40.0,,,,0,NO_DATI_GIPO
alfa-latto-albumina-ige-specifiche,ALFA LATTO-ALBUMINA (IgE SPECIFICHE),12.5,12.5,2025-08-26,12.5,1,OK
alfa-1-antitripsina,ALFA-1-ANTITRIPSINA,12.0,12.0,2026-05-05,12.0,3,OK
alfa-1-antitripsina-fecale,ALFA-1-ANTITRIPSINA FECALE,55.0,,,,0,NO_DATI_GIPO
alfa-1-glicoproteina-mucoproteina,ALFA-1-GLICOPROTEINA (MUCOPROTEINA),12.3,,,,0,NO_DATI_GIPO
alfafetoproteina-afp,ALFAFETOPROTEINA (AFP),16.9,16.9,2026-05-06,16.9,20,OK
alluminio-sierico,ALLUMINIO SIERICO,20.0,20.0,2026-01-30,20.0,1,OK
alluminio-urine-f-t,ALLUMINIO URINE F.T.,30.0,,,,0,NO_DATI_GIPO
alluminio-urine-i-t,ALLUMINIO URINE I.T.,20.0,,,,0,NO_DATI_GIPO
alpha-gal-galactose-alpha-1-3-galactose,"ALPHA-GAL GALACTOSE-ALPHA-1,3-GALACTOSE",78.0,78.0,2025-07-01,78.0,1,OK
alt-a1-alternaria-alternata,ALT A1 ALTERNARIA ALTERNATA,82.5,80.0,2025-11-24,80.0,1,MISMATCH
alternaria-alternata-ige-specifiche,ALTERNARIA ALTERNATA (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
amaranto-comune-amaranthus-retroflexus-ige-specifi,AMARANTO COMUNE (AMARANTHUS RETROFLEXUS) (IgE SPECIFICHE),14.0,,,,0,NO_DATI_GIPO
ambrosia-elatior-ambrosia-artemisifolia-ige-specif,AMBROSIA ELATIOR (AMBROSIA ARTEMISIFOLIA) (IgE SPECIFICHE),12.5,12.5,2026-06-22,12.5,2,OK
ambrosia-gigante-ambrosia-trifida-ige-specifiche,AMBROSIA GIGANTE (AMBROSIA TRIFIDA) (IgE SPECIFICHE),19.0,19.0,2026-06-22,19.0,1,OK
ambrosia-occidentale-ambrosia-psilostachya-ige-spe,AMBROSIA OCCIDENTALE (AMBROSIA PSILOSTACHYA) (IgE SPECIFICHE),25.0,19.0,2026-06-22,19.0,1,MISMATCH
amilasi,AMILASI,3.5,3.5,2026-06-29,3.5,179,OK
amilasi-isoenzimi,AMILASI ISOENZIMI,65.0,65.0,2025-10-20,65.0,2,OK
amilasi-pancreatica,AMILASI PANCREATICA,12.0,12.0,2026-06-24,12.0,8,OK
amilasuria-urine-spot,AMILASURIA URINE  spot,2.99,,,,0,NO_DATI_GIPO
aminoacidi-plasmatici,AMINOACIDI PLASMATICI,350.0,,,,0,NO_DATI_GIPO
amiodarone-e-metaboliti,AMIODARONE E METABOLITI,229.0,,,,0,NO_DATI_GIPO
ammonio,AMMONIO,20.0,20.0,2026-05-23,20.0,7,OK
amoxicillina-ige-specifiche,AMOXICILLINA (IgE SPECIFICHE),12.5,12.5,2026-05-18,12.5,1,OK
ampicillina-ige-specifiche,AMPICILLINA (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
anacardio-ige-specifiche,ANACARDIO (IgE SPECIFICHE),12.5,12.5,2025-09-13,12.5,1,OK
analisi-genetica-di-ii-livello,ANALISI GENETICA DI II LIVELLO,170.0,,,,0,NO_DATI_GIPO
ananas-ige-specifiche,ANANAS (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
androstenediolo-glucuronide,ANDROSTENEDIOLO GLUCURONIDE,12.5,12.5,2026-05-12,12.5,3,OK
anexina-v-igg,ANEXINA V IGG,62.0,,,,0,NO_DATI_GIPO
angiotensina-ii,ANGIOTENSINA II,124.0,,,,0,NO_DATI_GIPO
anguria-ige-specifiche,ANGURIA (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
anisakis-ige-specifiche,ANISAKIS (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
annexina-v-igg,Annexina V IgG,65.0,0.09,2025-11-18,61.0,2,MISMATCH
antibiogramma,ANTIBIOGRAMMA,25.0,25.0,2026-06-29,25.0,318,OK
antibiogramma-mic-batteri-gram-negativi,ANTIBIOGRAMMA (MIC) batteri gram negativi,25.0,,,,0,NO_DATI_GIPO
antibiogramma-mic-batteri-gram-positivi,ANTIBIOGRAMMA (MIC) batteri gram positivi,45.0,,,,0,NO_DATI_GIPO
antibiogramma-per-micoplasma-ureaplasma,ANTIBIOGRAMMA PER MICOPLASMA/UREAPLASMA,70.0,,,,0,NO_DATI_GIPO
antibiogramma-vitek-ast-n379,ANTIBIOGRAMMA VITEK AST N379,45.0,,,,0,NO_DATI_GIPO
antibiotici-aminoglicosidi-vancomicina,ANTIBIOTICI AMINOGLICOSIDI: VANCOMICINA,44.0,,,,0,NO_DATI_GIPO
anticorpi-anti-core-virus-b-hbcab-totali,ANTICORPI ANTI - CORE VIRUS B (HBCAB TOTALI),12.0,12.0,2026-06-13,12.0,51,OK
anticorpi-anti-bp180,ANTICORPI ANTI BP180,33.9,33.9,2026-06-22,33.9,13,OK
anticorpi-anti-gangliosidi-profilo-completo-igg,ANTICORPI ANTI GANGLIOSIDI - Profilo completo IgG,70.0,70.0,2025-11-03,70.0,1,OK
anticorpi-anti-hdv-virus-epatite-delta,ANTICORPI ANTI HDV (VIRUS EPATITE DELTA),63.0,63.0,2026-03-13,63.0,2,OK
anticorpi-anti-insulina,ANTICORPI ANTI INSULINA,45.9,45.9,2026-04-07,45.9,3,OK
anticorpi-anti-mag,Anticorpi Anti Mag,63.0,63.0,2026-05-25,63.0,2,OK
anticorpi-anti-musk,ANTICORPI ANTI MUSK,81.5,81.5,2026-01-19,81.5,1,OK
anticorpi-anti-pemfigoide-bolloso-bp230,Anticorpi anti Pemfigoide bolloso BP230,33.9,33.9,2026-06-22,33.9,13,OK
anticorpi-anti-sars-cov-2-igm-igg,"ANTICORPI ANTI SARS-CoV-2 (IgM, IgG)",55.0,,,,0,NO_DATI_GIPO
anticorpi-anti-sars-cov-2-igg-quantitativo,ANTICORPI ANTI SARS-COV-2 IGG (QUANTITATIVO),40.0,,,,0,NO_DATI_GIPO
anticorpi-anti-ssa,ANTICORPI ANTI SSA,15.0,15.0,2026-01-07,15.0,2,OK
anticorpi-anti-ssb,ANTICORPI ANTI SSB,15.0,15.0,2026-01-07,15.0,2,OK
anticorpi-anti-21-idrossilasi,anticorpi anti-21 Idrossilasi,97.5,97.5,2026-05-25,97.5,1,OK
anticorpi-anti-adenovirus-igg,ANTICORPI ANTI-ADENOVIRUS IgG,14.2,14.2,2026-01-17,14.2,2,OK
anticorpi-anti-adenovirus-igm,ANTICORPI ANTI-ADENOVIRUS IgM,14.2,14.2,2026-01-17,14.2,2,OK
anticorpi-anti-ameba-entamoeba-histolytica,ANTICORPI ANTI-AMEBA (ENTAMOEBA HISTOLYTICA),74.2,,,,0,NO_DATI_GIPO
anticorpi-anti-bartonella-henselae-igg,ANTICORPI ANTI-BARTONELLA HENSELAE IgG,45.9,,,,0,NO_DATI_GIPO
anticorpi-anti-bartonella-henselae-igm,ANTICORPI ANTI-BARTONELLA HENSELAE IgM,68.0,,,,0,NO_DATI_GIPO
anticorpi-anti-bartonella-quintana-igg,ANTICORPI ANTI-BARTONELLA QUINTANA IgG,24.9,,,,0,NO_DATI_GIPO
anticorpi-anti-bartonella-quintana-igm,ANTICORPI ANTI-BARTONELLA QUINTANA IgM,24.9,,,,0,NO_DATI_GIPO
anticorpi-anti-beta-2-glicoproteina-igg,ANTICORPI ANTI-BETA 2 GLICOPROTEINA IgG,25.0,25.0,2026-06-24,25.0,12,OK
anticorpi-anti-beta-2-glicoproteina-igm,ANTICORPI ANTI-BETA 2 GLICOPROTEINA IgM,25.0,25.0,2026-06-24,25.0,12,OK
anticorpi-anti-borrelia-burgdorferi-igg,ANTICORPI ANTI-BORRELIA BURGDORFERI IgG,14.2,14.2,2025-07-21,14.2,1,OK
anticorpi-anti-borrelia-burgdorferi-igm,ANTICORPI ANTI-BORRELIA BURGDORFERI IgM,14.2,14.2,2025-07-21,14.2,1,OK
anticorpi-anti-candida-albicans-igg,ANTICORPI ANTI-CANDIDA ALBICANS IgG,24.9,,,,0,NO_DATI_GIPO
anticorpi-anti-candida-albicans-igm,ANTICORPI ANTI-CANDIDA ALBICANS IgM,24.9,,,,0,NO_DATI_GIPO
anticorpi-anti-cardiolipina-iga,ANTICORPI ANTI-CARDIOLIPINA IgA,35.0,35.0,2026-06-11,35.0,4,OK
anticorpi-anti-cardiolipina-igg,ANTICORPI ANTI-CARDIOLIPINA IgG,25.0,25.0,2026-06-24,25.0,14,OK
anticorpi-anti-cardiolipina-igm,ANTICORPI ANTI-CARDIOLIPINA IgM,25.0,25.0,2026-06-24,25.0,14,OK
anticorpi-anti-cellule-parietali-apca,ANTICORPI ANTI-CELLULE PARIETALI (APCA),14.2,14.2,2026-05-25,14.2,6,OK
anticorpi-anti-centromero-cenp-b,ANTICORPI ANTI-CENTROMERO (CENP-B),21.0,21.0,2026-04-03,21.0,3,OK
anticorpi-anti-chlamydia-pneumoniae-iga,ANTICORPI ANTI-CHLAMYDIA PNEUMONIAE IgA,50.0,,,,0,NO_DATI_GIPO
anticorpi-anti-chlamydia-pneumoniae-igg,ANTICORPI ANTI-CHLAMYDIA PNEUMONIAE IgG,50.0,50.0,2026-04-09,50.0,1,OK
anticorpi-anti-chlamydia-pneumoniae-igm,ANTICORPI ANTI-CHLAMYDIA PNEUMONIAE IgM,50.0,50.0,2026-04-09,50.0,1,OK
anticorpi-anti-chlamydia-trachomatis-iga,ANTICORPI ANTI-CHLAMYDIA TRACHOMATIS IgA,25.0,,,,0,NO_DATI_GIPO
anticorpi-anti-chlamydia-trachomatis-igg,ANTICORPI ANTI-CHLAMYDIA TRACHOMATIS IgG,25.0,25.0,2026-06-12,25.0,1,OK
anticorpi-anti-chlamydia-trachomatis-igm,ANTICORPI ANTI-CHLAMYDIA TRACHOMATIS IgM,25.0,25.0,2026-06-12,25.0,1,OK
anticorpi-anti-citomegalovirus-igg,ANTICORPI ANTI-CITOMEGALOVIRUS IgG,12.7,12.7,2026-06-30,12.7,113,OK
anticorpi-anti-citomegalovirus-igm,ANTICORPI ANTI-CITOMEGALOVIRUS IgM,13.5,13.5,2026-06-30,13.5,119,OK
anticorpi-anti-citoplasma-granulociti-neutrofili-a,ANTICORPI ANTI-CITOPLASMA GRANULOCITI NEUTROFILI (ANCA),15.5,15.5,2026-02-06,15.5,3,OK
anticorpi-anti-citrullina,ANTICORPI ANTI-CITRULLINA,31.5,31.5,2026-06-20,31.5,14,OK
anticorpi-anti-cromatina-nucleosoma,Anticorpi anti-cromatina (nucleosoma),25.0,22.0,2025-09-17,22.0,1,MISMATCH
anticorpi-anti-desmogleina-1-dsg1,ANTICORPI ANTI-DESMOGLEINA 1 (DSG1),40.5,40.5,2026-06-22,40.5,10,OK
anticorpi-anti-desmogleina-3-dsg3,ANTICORPI ANTI-DESMOGLEINA 3 (DSG3),40.5,40.5,2026-06-22,40.5,10,OK
anticorpi-anti-difterite,ANTICORPI ANTI-DIFTERITE,80.0,,,,0,NO_DATI_GIPO
anticorpi-anti-dna-nativo,ANTICORPI ANTI-DNA NATIVO,16.0,16.0,2026-04-03,16.0,5,OK
anticorpi-anti-dnasi-b,ANTICORPI ANTI-DNASI B,15.0,,,,0,NO_DATI_GIPO
anticorpi-anti-echo-virus-neurotropi-ig-totali,ANTICORPI ANTI-ECHO VIRUS NEUROTROPI Ig TOTALI,38.0,,,,0,NO_DATI_GIPO
anticorpi-anti-echo-virus-pneumotropi-ig-totali,ANTICORPI ANTI-ECHO VIRUS PNEUMOTROPI Ig TOTALI,38.0,,,,0,NO_DATI_GIPO
anticorpi-anti-ena-screening,ANTICORPI ANTI-ENA (SCREENING),28.0,28.0,2026-06-22,28.0,19,OK
anticorpi-anti-ena-jo-1,ANTICORPI ANTI-ENA JO-1,11.0,11.0,2026-04-03,11.0,1,OK
anticorpi-anti-ena-rnp,ANTICORPI ANTI-ENA RNP,11.0,11.0,2026-04-03,11.0,1,OK
anticorpi-anti-ena-scl-70,ANTICORPI ANTI-ENA SCL-70,11.0,11.0,2026-04-03,11.0,1,OK
anticorpi-anti-ena-sm,ANTICORPI ANTI-ENA SM,11.0,11.0,2026-04-03,11.0,1,OK
anticorpi-anti-ena-ssa-ro-52kd,ANTICORPI ANTI-ENA SSA (RO) 52KD,11.0,11.0,2026-05-25,11.0,1,OK
anticorpi-anti-ena-ssa-ro-60kd,ANTICORPI ANTI-ENA SSA (RO) 60KD,11.0,11.0,2026-05-25,11.0,1,OK
anticorpi-anti-ena-ssa-ro,ANTICORPI ANTI-ENA SSA/RO,15.0,15.0,2026-04-03,15.0,1,OK
anticorpi-anti-ena-ssb-la,ANTICORPI ANTI-ENA SSB (LA),15.0,,,,0,NO_DATI_GIPO
anticorpi-anti-endomisio-ema-iga,ANTICORPI ANTI-ENDOMISIO (EMA) IgA,18.5,18.5,2026-07-01,18.5,44,OK
anticorpi-anti-endomisio-ema-igg,ANTICORPI ANTI-ENDOMISIO (EMA) IgG,18.5,18.5,2026-07-01,18.5,43,OK
anticorpi-anti-epstein-barr-virus-ea-igg,ANTICORPI ANTI-EPSTEIN BARR VIRUS EA IgG,16.0,16.0,2026-04-21,16.0,3,OK
anticorpi-anti-epstein-barr-virus-ebna-igg,ANTICORPI ANTI-EPSTEIN BARR VIRUS EBNA IgG,12.4,12.4,2026-05-29,12.4,20,OK
anticorpi-anti-epstein-barr-virus-vca-igg,ANTICORPI ANTI-EPSTEIN BARR VIRUS VCA IgG,13.5,13.5,2026-05-29,13.5,23,OK
anticorpi-anti-epstein-barr-virus-vca-igm,ANTICORPI ANTI-EPSTEIN BARR VIRUS VCA IgM,15.2,15.2,2026-05-29,15.2,24,OK
anticorpi-anti-fattore-intrinseco,ANTICORPI ANTI-FATTORE INTRINSECO,50.0,50.0,2026-05-08,50.0,7,OK
anticorpi-anti-fosfolipidi,ANTICORPI ANTI-FOSFOLIPIDI,20.8,20.8,2026-02-10,20.8,6,OK
anticorpi-anti-gad-65-decarbossilasi-dell-acido-gl,ANTICORPI ANTI-GAD 65 (DECARBOSSILASI DELL'ACIDO GLUTAMMICO),65.2,65.2,2026-04-29,65.2,2,OK
anticorpi-anti-gangliosidi-profilo-completo-igm,ANTICORPI ANTI-GANGLIOSIDI (PROFILO COMPLETO IGM),70.0,70.0,2025-11-03,70.0,1,OK
anticorpi-anti-gliadina-deamidata-iga,ANTICORPI ANTI-GLIADINA DEAMIDATA IgA,13.5,13.5,2026-07-01,13.5,46,OK
anticorpi-anti-gliadina-deamidata-igg,ANTICORPI ANTI-GLIADINA DEAMIDATA IgG,13.5,13.5,2026-07-01,13.5,45,OK
anticorpi-anti-hav-igg,ANTICORPI ANTI-HAV IgG,13.9,13.9,2025-11-19,13.9,2,OK
anticorpi-anti-hav-igm,ANTICORPI ANTI-HAV IgM,13.9,13.9,2025-11-19,13.9,3,OK
anticorpi-anti-hbc-igg,ANTICORPI ANTI-HBc IgG,13.0,13.0,2026-06-15,13.0,22,OK
anticorpi-anti-hbc-igm,ANTICORPI ANTI-HBc IgM,13.0,13.0,2026-06-15,13.0,31,OK
anticorpi-anti-hbeag,ANTICORPI ANTI-HBeAg,18.0,18.0,2026-04-21,18.0,1,OK
anticorpi-anti-hbs-totali,ANTICORPI ANTI-HBs TOTALI,12.7,12.7,2026-05-29,12.7,33,OK
anticorpi-anti-hcv,ANTICORPI ANTI-HCV,10.0,10.0,2026-06-30,10.0,158,OK
anticorpi-anti-hdv-epatite-delta,ANTICORPI ANTI-HDV - EPATITE DELTA,125.0,,,,0,NO_DATI_GIPO
anticorpi-anti-helicobacter-pylori-igg,ANTICORPI ANTI-HELICOBACTER PYLORI IgG,13.5,,,,0,NO_DATI_GIPO
anticorpi-anti-herpes-simplex-tipo-1-igg,ANTICORPI ANTI-HERPES SIMPLEX TIPO 1 IgG,13.5,13.5,2026-06-30,13.5,28,OK
anticorpi-anti-herpes-simplex-tipo-1-2-igm,ANTICORPI ANTI-HERPES SIMPLEX TIPO 1-2 IgM,15.2,15.2,2026-06-30,15.2,24,OK
anticorpi-anti-herpes-simplex-tipo-2-igg,ANTICORPI ANTI-HERPES SIMPLEX TIPO 2 IgG,13.5,13.5,2026-06-30,13.5,29,OK
anticorpi-anti-hiv-1-2,ANTICORPI ANTI-HIV 1-2,13.0,13.0,2026-06-30,13.0,158,OK
anticorpi-anti-htlv-1-2,ANTICORPI ANTI-HTLV 1/2,48.5,48.5,2025-12-15,48.5,3,OK
anticorpi-anti-insula-pancreatica-ica,ANTICORPI ANTI-INSULA PANCREATICA (ICA),7.5,7.5,2026-04-07,7.5,3,OK
anticorpi-anti-legionella,ANTICORPI ANTI-LEGIONELLA,60.0,,,,0,NO_DATI_GIPO
anticorpi-anti-leptospira-ig-m,ANTICORPI ANTI-LEPTOSPIRA (Ig M),75.0,,,,0,NO_DATI_GIPO
anticorpi-anti-listeria,ANTICORPI ANTI-LISTERIA,28.5,,,,0,NO_DATI_GIPO
anticorpi-anti-microsoma-lkm,ANTICORPI ANTI-MICROSOMA LKM,15.0,15.0,2025-11-07,15.0,2,OK
anticorpi-anti-mitocondri-ama,ANTICORPI ANTI-MITOCONDRI (AMA),14.5,14.5,2025-11-07,14.5,3,OK
anticorpi-anti-morbillo-igg,ANTICORPI ANTI-MORBILLO IgG,12.0,12.0,2026-06-11,12.0,7,OK
anticorpi-anti-morbillo-igm,ANTICORPI ANTI-MORBILLO IgM,14.0,14.0,2026-06-11,14.0,5,OK
anticorpi-anti-muscolo-liscio-asma,ANTICORPI ANTI-MUSCOLO LISCIO (ASMA),15.0,15.0,2025-11-04,15.0,2,OK
anticorpi-anti-muscolo-striato,ANTICORPI ANTI-MUSCOLO STRIATO,44.9,44.9,2025-07-22,44.9,1,OK
anticorpi-anti-mycoplasma-pneumoniae-igg,ANTICORPI ANTI-MYCOPLASMA PNEUMONIAE IgG,18.0,18.0,2026-05-19,18.0,1,OK
anticorpi-anti-mycoplasma-pneumoniae-igm,ANTICORPI ANTI-MYCOPLASMA PNEUMONIAE IgM,18.0,18.0,2026-05-19,18.0,1,OK
anticorpi-anti-nucleo-ana,ANTICORPI ANTI-NUCLEO (ANA),13.0,13.0,2026-06-15,13.0,33,OK
anticorpi-anti-parotite-igg,ANTICORPI ANTI-PAROTITE IgG,12.9,12.9,2026-06-11,12.9,8,OK
anticorpi-anti-parotite-igm,ANTICORPI ANTI-PAROTITE IgM,12.9,12.9,2026-06-11,12.9,7,OK
anticorpi-anti-parvovirus-b19-igg,ANTICORPI ANTI-PARVOVIRUS B19 IgG,15.0,15.0,2025-07-07,15.0,1,OK
anticorpi-anti-parvovirus-b19-igm,ANTICORPI ANTI-PARVOVIRUS B19 IgM,15.0,15.0,2025-07-07,15.0,1,OK
anticorpi-anti-pertosse-igg,ANTICORPI ANTI-PERTOSSE IgG,12.5,,,,0,NO_DATI_GIPO
anticorpi-anti-pertosse-igm,ANTICORPI ANTI-PERTOSSE IgM,12.5,,,,0,NO_DATI_GIPO
anticorpi-anti-piastrine,ANTICORPI ANTI-PIASTRINE,235.5,,,,0,NO_DATI_GIPO
anticorpi-anti-proteinasi-3-pr3,ANTICORPI ANTI-PROTEINASI 3 (PR3),10.0,,,,0,NO_DATI_GIPO
anticorpi-anti-recettore-acetilcolina-achr,Anticorpi Anti-recettore Acetilcolina (AChR),62.22,62.22,2026-01-19,62.22,1,OK
anticorpi-anti-recettore-acetilcolina-nicotinico-m,ANTICORPI ANTI-RECETTORE ACETILCOLINA (NICOTINICO MUSCOLARE),110.0,,,,0,NO_DATI_GIPO
anticorpi-anti-recettori-tsh,ANTICORPI ANTI-RECETTORI TSH,35.0,35.0,2026-06-03,35.0,17,OK
anticorpi-anti-reticolina,ANTICORPI ANTI-RETICOLINA,28.0,28.0,2025-08-21,28.0,1,OK
anticorpi-antiribosoma,ANTICORPI ANTIRIBOSOMA,28.0,,,,0,NO_DATI_GIPO
anticorpi-anti-rosolia-igg,ANTICORPI ANTI-ROSOLIA IgG,11.7,11.7,2026-06-30,11.7,52,OK
anticorpi-anti-rosolia-igm,ANTICORPI ANTI-ROSOLIA IgM,11.7,11.7,2026-06-30,11.7,52,OK
