"ID","Data","Slug","Keyword","Titolo","Specialita","Angolo_Sardegna","Specialisti","Stato"
"22","2026-03-19","cefalea-emicrania","emicrania cefalea sintomi cura","Cefalea ed Emicrania: Sintomi, Cause e Cura","neurologia","Patologia molto diffusa, accesso rapido a diagnostica neurologica a Sassari.","Dott. Sebastiano Traccis, Dott.ssa Maria Pina Pintus","planned"
"23","2026-03-20","infertilita-femminile","infertilità femminile cause cura PMA","Infertilità Femminile: Cause, Diagnosi e Percorsi PMA","ginecologia","Centro PMA di riferimento per il nord Sardegna.","Dott. Francesco Dessole, Dott.ssa Margherita Dessole, Dott.ssa Antonella Pruneddu","planned"
"24","2026-03-23","sclerosi-multipla-sardegna","sclerosi multipla sardegna sintomi diagnosi","Sclerosi Multipla in Sardegna: la Seconda Incidenza al Mondo","neurologia","Sardegna ha la 2° più alta incidenza di SM al mondo dopo la Scozia.","Dott. Sebastiano Traccis, Dott.ssa Maria Laura De Luca","planned"
"25","2026-03-24","insufficienza-venosa","insufficienza venosa cronica gambe pesanti vene varicose","Insufficienza Venosa e Vene Varicose: Sintomi e Cura","chirurgia-vascolare","Molto diffusa in Sardegna, professioni in piedi e caldo estivo.","Dott. Guido Marongiu, Dott. Roberto Mancino","planned"
"26","2026-03-25","otite-acufeni","otite acufeni orecchio tappato cause cura","Otite e Acufeni: Cause, Sintomi e Cura","otorinolaringoiatria","Acufeni e otiti frequenti, legati anche al vento (mistral) e balneazione.","Dott. Francesco Bussu, Dott. Francesco Santoru","planned"
"27","2026-03-26","glaucoma","glaucoma sintomi diagnosi cura","Glaucoma: Sintomi, Diagnosi Precoce e Cura a Sassari","oculistica","Screening fondamentale dopo i 40 anni; accesso alla tonometria a Sassari.","Dott.ssa Maria Pina Pintus, Dott. Matteo Zucca, Dott. Giorgio Chiarelli","planned"
"28","2026-03-27","celiachia-sardegna","celiachia sintomi diagnosi dieta sardegna","Celiachia in Sardegna: Sintomi, Diagnosi e Dieta","gastroenterologia","Sardegna: incidenza di celiachia 2-3 volte superiore alla media italiana.","Dott. Angelo Deplano","planned"
"29","2026-03-30","nefropatia-diabetica","nefropatia diabetica insufficienza renale prevenzione","Nefropatia Diabetica: Prevenzione e Cura a Sassari","nefrologia","In Sardegna alta prevalenza diabetica rende la nefropatia una complicanza frequente.","Dott. Paolo Dessole, Dott. Sergio Paolo Sotgia","planned"
"30","2026-03-31","obesita-sindrome-metabolica","obesità sindrome metabolica cause cura","Obesità e Sindrome Metabolica: Rischi e Trattamento","nutrizionale","Il sovrappeso è in aumento in Sardegna, con impatto su diabete e patologie cardiovascolari.","Dott.ssa Antonella Galatino, Dott. Alessandro Pandolfi","planned"
"31","2026-04-01","calcoli-renali","calcoli renali sintomi colica renale cura","Calcoli Renali: Sintomi, Colica Renale e Cura","nefrologia","Il clima caldo sardo e la disidratazione aumentano il rischio di calcolosi.","Dott. Sergio Paolo Sotgia, Dott. Carlos Manuel Cambara Zuniga","planned"
"32","2026-04-02","ansia-attacchi-panico","ansia attacchi di panico sintomi cura","Ansia e Attacchi di Panico: Sintomi e Cura","psicologia","Disturbi d'ansia in aumento nel post-pandemia, supporto psicologico fondamentale.","Dott.ssa Alessia Piras","planned"
"33","2026-04-03","tunnel-carpale","sindrome tunnel carpale sintomi operazione","Sindrome del Tunnel Carpale: Sintomi, Diagnosi e Intervento","ortopedia","Molto diffusa tra lavoratori manuali e agricoltori sardi.","Dott. Andrea Donato, Dott. Pietro Lisai","planned"
"34","2026-04-06","gastrite-cronica","gastrite cronica sintomi cura alimentazione","Gastrite Cronica: Sintomi, Cause e Alimentazione","gastroenterologia","Abitudini alimentari sarde (vino, insaccati, formaggi) possono aggravare la gastrite.","Dott. Angelo Deplano","planned"
"35","2026-04-07","ecografia-gravidanza","ecografia gravidanza quando farla cosa si vede","Ecografia in Gravidanza: Quando Farla e Cosa Si Vede","ginecologia","Centro ecografia 3D/4D di riferimento nel nord Sardegna.","Dott. Francesco Dessole","planned"
"36","2026-04-08","apnee-notturne","apnee notturne russamento OSAS cause cura","Apnee Notturne (OSAS): Cause, Rischi e Cura","pneumologia","OSAS sottostimata in Sardegna, correlata a ipertensione e obesità.","Prof. Pietro Pirina","planned"
"37","2026-04-09","allergie-stagionali","allergie stagionali rinite allergica sintomi cura","Allergie Stagionali e Rinite Allergica: Sintomi e Cura","otorinolaringoiatria","Pollini di ulivo, parietaria e graminacee tipici della primavera sarda.","Dott. Francesco Bussu, Dott. Francesco Santoru","planned"
"38","2026-04-10","scoliosi-postura","scoliosi postura bambini adulti cura","Scoliosi e Difetti Posturali: Diagnosi e Trattamento","ortopedia","Screening posturale fondamentale in età scolare; accesso rapido a Sassari.","Dott. Pietro Lisai, Dott. Nicola Frau","planned"
"39","2026-04-13","epatite-steatosi-epatica","steatosi epatica fegato grasso cause cura","Steatosi Epatica (Fegato Grasso): Cause e Cura","medicina-interna","In Sardegna alta prevalenza di steatosi legata a dieta e consumo di alcol.","Prof. Antonio Solinas","planned"
"40","2026-04-14","nei-melanoma-prevenzione","nei sospetti melanoma prevenzione mappatura nei","Nei e Melanoma: Prevenzione e Mappatura a Sassari","dermatologia","Esposizione solare intensa in Sardegna aumenta il rischio melanoma; screening fondamentale.","Dott.ssa Giovanna Costa, Dott.ssa Alessandra Musinu","planned"
"41","2026-04-15","endocrinologo-pediatrico","endocrinologo pediatrico crescita bambino tiroide","Endocrinologia Pediatrica: Crescita, Tiroide e Diabete nei Bambini","pediatria","In Sardegna alta incidenza di diabete tipo 1 giovanile e patologie tiroidee pediatriche.","Dr. Carlo Burrai, Dott.ssa Mariolina Azara","planned"
"42","2026-04-16","ipertrofia-prostatica","ipertrofia prostatica benigna sintomi cura","Ipertrofia Prostatica Benigna: Sintomi e Cura","urologia","Colpisce oltre il 50% degli uomini sopra i 50 anni; diagnosi precoce a Sassari.","Dott. Carlos Manuel Cambara Zuniga","planned"
"43","2026-04-17","vertigini-labirintite","vertigini labirintite cause cura","Vertigini e Labirintite: Cause, Diagnosi e Cura","otorinolaringoiatria","Vertigini posizionali molto frequenti; accesso rapido a diagnostica ORL a Sassari.","Dott. Francesco Bussu","planned"
"44","2026-04-20","infertilita-maschile","infertilità maschile cause spermiogramma cura","Infertilità Maschile: Cause, Spermiogramma e Percorsi PMA","urologia","Centro PMA di riferimento nel nord Sardegna con percorso integrato urologo-ginecologo.","Dott. Carlos Manuel Cambara Zuniga, Dott. Francesco Dessole","planned"
"45","2026-04-21","fibromialgia","fibromialgia sintomi diagnosi cura","Fibromialgia: Sintomi, Diagnosi e Trattamento","reumatologia","Prevalenza in aumento, approccio multidisciplinare fondamentale.","Dott. Niccolò Melis","planned"
"46","2026-04-22","vitamina-d-carenza","vitamina D carenza sintomi integrazione","Carenza di Vitamina D: Sintomi, Esami e Integrazione","endocrinologia","Paradosso sardo: nonostante il sole, carenza diffusa per stile di vita indoor.","Dott.ssa Irene Aini, Dott.ssa Fabrizia Caucci","planned"
"47","2026-04-23","visita-medicina-sport","visita medico sportiva certificato idoneita","Visita Medico Sportiva: Certificato Idoneità a Sassari","medicina-sport","Obbligatoria per attività agonistica; centro certificato a Sassari.","Dr. Giorgio Chiarelli","planned"
"48","2026-04-24","sindrome-intestino-irritabile","colon irritabile sintomi dieta cura","Sindrome dell'Intestino Irritabile (IBS): Sintomi e Cura","gastroenterologia","Tra le più frequenti patologie gastroenterologiche, stress e dieta come fattori scatenanti.","Dott. Angelo Deplano","planned"
"49","2026-04-27","osteoporosi-prevenzione","osteoporosi prevenzione MOC DEXA cura","Osteoporosi: Prevenzione, MOC-DEXA e Cura","reumatologia","Popolazione anziana sarda a rischio elevato; MOC-DEXA disponibile a Bio-Clinic.","Dott. Niccolò Melis, Dott.ssa Irene Aini","planned"
"50","2026-04-28","cataratta","cataratta sintomi intervento tempi recupero","Cataratta: Sintomi, Intervento e Tempi di Recupero","oculistica","Elevata esposizione solare in Sardegna come fattore di rischio; screening dai 60 anni.","Dott. Matteo Zucca, Dott. Giorgio Chiarelli","planned"
"51","2026-04-29","pap-test-hpv","pap test HPV screening cervice uterina","Pap Test e HPV: Screening per la Prevenzione del Tumore Cervicale","ginecologia","Screening fondamentale; Bio-Clinic offre percorso completo pap-test + HPV-DNA.","Dott. Francesco Dessole","planned"
"52","2026-04-30","medicina-lavoro-sassari","medicina del lavoro visita sorveglianza sanitaria","Medicina del Lavoro a Sassari: Visite e Sorveglianza Sanitaria","medicina-lavoro","Servizio dedicato alle aziende del nord Sardegna con visite in sede e fuori sede.","Dott. Gianfranco Manchia","planned"
"53","2026-05-04","dolore-spalla","dolore spalla cause cuffia rotatori cura","Dolore alla Spalla e Cuffia dei Rotatori: Cause e Cura","ortopedia","Patologia frequente tra sportivi e lavoratori manuali sardi.","Dott. Andrea Donato, Dott. Antonio Michele Cavazzuti","planned"
"54","2026-05-05","tiroide-gravidanza","tiroide gravidanza ipotiroidismo gestazionale","Tiroide e Gravidanza: Controlli e Rischi","endocrinologia","Fondamentale il controllo tiroideo in gravidanza, specialmente in Sardegna per prevalenza autoimmune.","Dott.ssa Irene Aini, Dott. Francesco Dessole","planned"
"55","2026-05-06","eczema-mani","eczema mani dermatite contatto cura","Eczema alle Mani: Cause, Prevenzione e Cura","dermatologia","Frequente in lavoratori esposti a detergenti e agenti chimici.","Dott.ssa Alessandra Musinu, Dott.ssa Speranza Anedda","planned"
"56","2026-05-07","incontinenza-urinaria","incontinenza urinaria femminile cause cura","Incontinenza Urinaria Femminile: Cause e Cura","ginecologia","Problema spesso sottovalutato; trattamento con Perifit e riabilitazione pelviperineale a Bio-Clinic.","Dott. Francesco Dessole, Dott.ssa Angelica Fois","planned"
"57","2026-05-08","aritmie-cardiache","aritmie cardiache extrasistole tachicardia cura","Aritmie Cardiache: Extrasistole, Tachicardia e Cura","cardiologia","Holter ECG 24h disponibile per diagnosi precisa; accesso rapido a Sassari.","Dott. Paolo Franca, Dott.ssa Giuliana Guagnozzi","planned"
"58","2026-05-11","ernia-inguinale","ernia inguinale sintomi intervento tempi","Ernia Inguinale: Sintomi, Intervento e Recupero","chirurgia-vascolare","Tra gli interventi chirurgici più comuni; approccio mini-invasivo a Sassari.","Dott. Guido Marongiu","planned"
"59","2026-05-12","acne-adulti","acne adulti cause cura trattamento","Acne negli Adulti: Cause, Cura e Trattamenti","dermatologia","Non solo adolescenti: acne tardiva frequente, soprattutto nelle donne.","Dott.ssa Giovanna Costa, Dott.ssa Speranza Anedda","planned"
"60","2026-05-13","controllo-nei-bambini","visita pediatrica sassari bilancio salute","Visita Pediatrica a Sassari: Bilancio di Salute e Controlli","pediatria","Servizio pediatrico dedicato a Bio-Clinic per le famiglie del nord Sardegna.","Dott.ssa Mariolina Azara, Dr. Carlo Burrai","planned"
"61","2026-05-14","neuropatia-periferica","neuropatia periferica formicolio mani piedi cause","Neuropatia Periferica: Formicolio a Mani e Piedi","neurologia","Frequente complicanza del diabete, molto diffuso in Sardegna.","Dott. Sebastiano Traccis","planned"
"62","2026-05-15","check-up-cardiovascolare","check up cardiovascolare cuore esami prevenzione","Check-Up Cardiovascolare: Esami e Prevenzione a Sassari","cardiologia","Prevenzione primaria fondamentale in Sardegna per tassi elevati di patologie CV.","Dott. Paolo Franca, Dott. Paolo Pischedda","planned"
"63","2026-05-18","alimentazione-sport","alimentazione sportiva dieta atleta nutrizione","Alimentazione e Sport: Guida Nutrizionale per l'Atleta","nutrizionale","Supporto nutrizionale personalizzato per atleti sardi di ogni livello.","Dott.ssa Antonella Galatino, Dott. Alessandro Pandolfi","planned"
"64","2026-05-19","analisi-sangue-guida","analisi del sangue valori normali come leggere","Analisi del Sangue: Guida Completa ai Valori Normali","laboratorio","Laboratorio ad accesso diretto 07:00-10:00, 1.136 esami disponibili.","Dott.ssa Cinzia Guarino","planned"
